date,center_name,attendance_count
2019-07-23,Brookline Community Center,34
2019-07-23,Ormsby Community Center,18
2019-07-23,Paulson Community Center,4
2019-07-23,West Penn Community Center,36
2019-07-22,Phillips Community Center,41
2019-07-22,Warrington Community Center,34
2019-07-22,Ammon Community Center,121
2019-07-22,Brookline Community Center,42
2019-07-22,Jefferson Community Center,11
2019-07-22,Magee Community Center,23
2019-07-22,Paulson Community Center,1
2019-07-22,Ormsby Community Center,11
2019-07-22,West Penn Community Center,44
2019-07-20,Phillips Community Center,4
2019-07-20,Ammon Community Center,127
2019-07-20,Magee Community Center,8
2019-07-20,Brookline Community Center,4
2019-07-20,West Penn Community Center,38
2019-07-19,Phillips Community Center,32
2019-07-19,Warrington Community Center,79
2019-07-19,Ammon Community Center,80
2019-07-19,Brookline Community Center,50
2019-07-19,Jefferson Community Center,35
2019-07-19,Magee Community Center,11
2019-07-19,Ormsby Community Center,19
2019-07-19,West Penn Community Center,72
2019-07-18,Warrington Community Center,121
2019-07-18,Phillips Community Center,48
2019-07-18,Ammon Community Center,115
2019-07-18,Magee Community Center,14
2019-07-18,Jefferson Community Center,23
2019-07-18,Brookline Community Center,41
2019-07-18,Ormsby Community Center,18
2019-07-18,Paulson Community Center,4
2019-07-18,West Penn Community Center,132
2019-07-17,Phillips Community Center,36
2019-07-17,Warrington Community Center,65
2019-07-17,Ammon Community Center,296
2019-07-17,Brookline Community Center,35
2019-07-17,Jefferson Community Center,16
2019-07-17,Magee Community Center,15
2019-07-17,Paulson Community Center,3
2019-07-17,Ormsby Community Center,19
2019-07-17,West Penn Community Center,61
2019-07-16,Warrington Community Center,44
2019-07-16,Phillips Community Center,39
2019-07-16,Ammon Community Center,134
2019-07-16,Magee Community Center,9
2019-07-16,Jefferson Community Center,36
2019-07-16,Brookline Community Center,42
2019-07-16,Ormsby Community Center,30
2019-07-16,Paulson Community Center,5
2019-07-16,West Penn Community Center,60
2019-07-15,Phillips Community Center,120
2019-07-15,Warrington Community Center,107
2019-07-15,Ammon Community Center,199
2019-07-15,Brookline Community Center,65
2019-07-15,Jefferson Community Center,64
2019-07-15,Magee Community Center,10
2019-07-15,Paulson Community Center,2
2019-07-15,Ormsby Community Center,26
2019-07-15,West Penn Community Center,52
2019-07-14,Ammon Community Center,1
2019-07-13,Phillips Community Center,109
2019-07-13,Ammon Community Center,19
2019-07-13,Magee Community Center,3
2019-07-13,Brookline Community Center,12
2019-07-13,West Penn Community Center,84
2019-07-12,Phillips Community Center,39
2019-07-12,Warrington Community Center,42
2019-07-12,Ammon Community Center,19
2019-07-12,Brookline Community Center,34
2019-07-12,Jefferson Community Center,27
2019-07-12,Magee Community Center,12
2019-07-12,Ormsby Community Center,24
2019-07-12,Paulson Community Center,6
2019-07-12,West Penn Community Center,61
2019-07-11,Warrington Community Center,85
2019-07-11,Phillips Community Center,48
2019-07-11,Ammon Community Center,60
2019-07-11,Magee Community Center,12
2019-07-11,Jefferson Community Center,26
2019-07-11,Brookline Community Center,40
2019-07-11,Paulson Community Center,3
2019-07-11,Ormsby Community Center,13
2019-07-11,West Penn Community Center,134
2019-07-10,Phillips Community Center,67
2019-07-10,Warrington Community Center,146
2019-07-10,Ammon Community Center,206
2019-07-10,Brookline Community Center,46
2019-07-10,Jefferson Community Center,29
2019-07-10,Magee Community Center,5
